timestamp,segment,speed,distance_m,actual_eta_seconds,baseline_eta_seconds,xgb_eta_seconds,baseline_eta_error,xgb_eta_error
2026-02-21 00:04:00,VLR_007->VLR_008,36.0,19504.329935217258,1950.4329935217258,2127.745083841882,1931.4220679375146,177.31209032015636,19.010925584211236
2026-02-21 00:05:00,VLR_001->VLR_002,33.0,3339.0012108314086,364.25467754524453,445.2001614441878,341.27616412393206,80.94548389894328,22.97851342131247
2026-02-21 00:05:00,VLR_008->VLR_009,36.0,860.0313838510416,86.00313838510417,93.82160551102271,89.29225283961611,7.818467125918545,3.289114454511946
2026-02-21 00:07:00,VLR_007->VLR_008,33.0,19504.329935217258,2127.745083841882,1950.4329935217258,1993.7607292954553,177.31209032015636,133.98435454642686
2026-02-21 00:07:00,VLR_002->VLR_030,35.0,6371.727359509493,655.3776712638335,882.2391728551605,647.7362802569045,226.86150159132706,7.641391006928984
2026-02-21 00:07:00,VLR_021->VLR_022,37.0,1657.6263414122113,161.28256294821514,205.77430445117108,172.2504446690476,44.49174150295593,10.967881720832452
2026-02-21 00:08:00,VLR_009->VLR_010,39.0,2548.2634963239693,235.22432273759716,295.9273737666545,269.8929824761997,60.70305102905735,34.668659738602514
2026-02-21 00:09:00,VLR_030->VLR_005,35.0,451.5027227307727,46.44028005230804,54.180326727692716,47.873547820482656,7.740046675384676,1.4332677681746162
2026-02-21 00:13:00,VLR_002->VLR_030,35.0,6371.727359509493,655.3776712638335,655.3776712638335,670.0009795165201,0.0,14.623308252686684
2026-02-21 00:13:00,VLR_020->VLR_021,36.0,578.723937221556,57.87239372215559,65.10644293742504,58.821046448035275,7.234049215269451,0.9486527258796826
2026-02-21 00:15:00,VLR_010->VLR_011,35.0,548.2308406345504,56.38945789383946,85.81004462106006,58.59028059665312,29.420586727220595,2.20082270281366
2026-02-21 00:15:00,VLR_004->VLR_005,39.0,4762.42861097274,439.6087948590221,591.1980344655815,483.6497066180133,151.58923960655937,44.04091175899117
2026-02-21 00:15:00,VLR_003->VLR_004,35.0,5457.230291661927,561.3151157137981,755.6165019224208,514.2955462910779,194.3013862086226,47.019569422720224
2026-02-21 00:19:00,VLR_002->VLR_003,32.0,3893.3638654219217,438.00343485996615,400.4602833005405,409.5711733021062,37.54315155942567,28.43226155785993
2026-02-21 00:19:00,VLR_020->VLR_021,36.0,578.723937221556,57.87239372215559,57.87239372215559,59.402650308613126,0.0,1.5302565864575328
2026-02-21 00:20:00,VLR_002->VLR_030,31.0,6371.727359509493,739.9425320720702,655.3776712638335,672.6259240823861,84.56486080823674,67.31660798968414
2026-02-21 00:22:00,VLR_001->VLR_002,32.0,3339.0012108314086,375.63763621853343,364.25467754524453,349.14055849668324,11.382958673288897,26.49707772185019
2026-02-21 00:22:00,VLR_011->VLR_012,37.0,615.6104288556737,59.89723091568717,69.25617324626329,63.888746085999664,9.35894233057612,3.9915151703124963
2026-02-21 00:23:00,VLR_004->VLR_005,41.0,4762.42861097274,418.1644634024845,439.6087948590221,487.95197555743107,21.44433145653761,69.78751215494657
2026-02-21 00:24:00,VLR_001->VLR_002,29.0,3339.0012108314086,414.4967020342438,375.63763621853343,355.2723458326595,38.85906581571038,59.22435620158433
2026-02-21 00:24:00,VLR_009->VLR_010,29.0,2548.2634963239693,316.3361581643548,235.22432273759716,267.6524967234095,81.11183542675764,48.683661440945286
2026-02-21 00:25:00,VLR_012->VLR_010,34.0,1044.8880302626767,110.63520320428341,134.34274674805843,111.16571543693996,23.707543543775017,0.5305122326565481
2026-02-21 00:25:00,VLR_002->VLR_003,30.0,3893.3638654219217,467.20366385063056,438.00343485996615,415.2734316425007,29.200228990664414,51.93023220812984
2026-02-21 00:26:00,VLR_002->VLR_030,34.0,6371.727359509493,674.6534851245345,739.9425320720702,676.1743679449447,65.28904694753567,1.5208828204101792
2026-02-21 00:27:00,VLR_004->VLR_005,42.0,4762.42861097274,408.20816665480623,418.1644634024845,455.5856251213349,9.956296747678266,47.37745846652865
2026-02-21 00:27:00,VLR_020->VLR_021,35.0,578.723937221556,59.52589068564575,57.87239372215559,59.10299977599367,1.6534969634901557,0.4228909096520752
2026-02-21 00:28:00,VLR_009->VLR_010,36.0,2548.2634963239693,254.82634963239693,316.3361581643548,273.5022661202386,61.50980853195787,18.675916487841647
2026-02-21 00:28:00,VLR_030->VLR_005,34.0,451.5027227307727,47.80617064208181,46.44028005230804,47.993102538423095,1.3658905897737696,0.18693189634128515
2026-02-21 00:28:00,VLR_021->VLR_022,35.0,1657.6263414122113,170.49870940239887,161.28256294821514,169.74430240879295,9.216146454183729,0.7544069936059259
2026-02-21 00:30:00,VLR_010->VLR_011,38.0,548.2308406345504,51.93765858643109,56.38945789383946,58.50755411945092,4.451799307408372,6.569895533019832
2026-02-21 00:30:00,VLR_010->VLR_011,37.0,548.2308406345504,53.34137908876706,51.93765858643109,59.15041442510326,1.4037205023359718,5.809035336336194
2026-02-21 00:31:00,VLR_012->VLR_010,29.0,1044.8880302626767,129.7102382395047,110.63520320428341,110.01774624013024,19.075035035221276,19.692491999374454
2026-02-21 00:33:00,VLR_004->VLR_005,43.0,4762.42861097274,398.7149534767875,408.20816665480623,445.095124839586,9.49321317801872,46.38017136279848
2026-02-21 00:34:00,VLR_021->VLR_022,42.0,1657.6263414122113,142.0822578353324,170.49870940239887,172.0703395827114,28.416451567066474,29.988081747379
2026-02-21 00:34:00,VLR_012->VLR_010,38.0,1044.8880302626767,98.98939234067464,129.7102382395047,109.90663443773008,30.72084589883005,10.917242097055436
2026-02-21 00:38:00,VLR_011->VLR_012,37.0,615.6104288556737,59.89723091568717,59.89723091568717,63.34462203801937,0.0,3.447391122332199
2026-02-21 00:38:00,VLR_021->VLR_022,35.0,1657.6263414122113,170.49870940239887,142.0822578353324,151.85093926202944,28.416451567066474,18.64777014036943
2026-02-21 00:39:00,VLR_003->VLR_004,33.0,5457.230291661927,595.3342136358466,561.3151157137981,562.0165215258038,34.019097922048445,33.3176921100428
2026-02-21 00:39:00,VLR_020->VLR_021,39.0,578.723937221556,53.420671128143624,59.52589068564575,60.11722670338509,6.105219557502124,6.696555575241469
2026-02-21 00:40:00,VLR_005->VLR_006,39.0,23172.463843520196,2138.996662478787,2383.4534239049344,2396.5602658697594,244.4567614261473,257.5636033909723
2026-02-21 00:43:00,VLR_009->VLR_010,32.0,2548.2634963239693,286.67964333644653,254.82634963239693,261.35723978073406,31.853293704049605,25.32240355571247
2026-02-21 00:46:00,VLR_008->VLR_009,37.0,860.0313838510416,83.6787292395608,86.00313838510417,88.86297119981154,2.3244091455433704,5.184241960250745
2026-02-21 00:47:00,VLR_007->VLR_008,36.0,19504.329935217258,1950.4329935217258,2127.745083841882,1997.893676345081,177.31209032015636,47.46068282335523
2026-02-21 00:50:00,VLR_005->VLR_006,40.0,23172.463843520196,2085.5217459168175,2138.996662478787,2355.155462387103,53.47491656196962,269.63371647028544
2026-02-21 00:51:00,VLR_011->VLR_012,37.0,615.6104288556737,59.89723091568717,59.89723091568717,61.79293374927529,0.0,1.8957028335881247
2026-02-21 00:53:00,VLR_003->VLR_004,35.0,5457.230291661927,561.3151157137981,595.3342136358466,559.5027129090337,34.019097922048445,1.8124028047644742
2026-02-21 00:59:00,VLR_008->VLR_009,38.0,860.0313838510416,81.4766574174671,83.6787292395608,88.73015097791574,2.2020718220937,7.253493560448646
2026-02-21 01:02:00,VLR_008->VLR_009,41.0,860.0313838510416,75.51495077716463,81.4766574174671,91.07386988119299,5.9617066403024666,15.558919104028362
2026-02-21 01:02:00,VLR_020->VLR_021,33.0,578.723937221556,63.13352042416973,53.420671128143624,60.64795425209365,9.712849296026107,2.4855661720760835
2026-02-21 01:03:00,VLR_001->VLR_002,33.0,3339.0012108314086,364.25467754524453,414.4967020342438,364.94788747568896,50.24202448899928,0.693209930444425
2026-02-21 01:07:00,VLR_020->VLR_021,39.0,578.723937221556,53.420671128143624,63.13352042416973,60.302886873615144,9.712849296026107,6.88221574547152
2026-02-21 01:08:00,VLR_002->VLR_030,29.0,6371.727359509493,790.9730515253164,674.6534851245345,682.4528181422166,116.31956640078181,108.52023338309971
2026-02-21 01:09:00,VLR_003->VLR_004,40.0,5457.230291661927,491.1507262495735,561.3151157137981,588.2316181044396,70.16438946422466,97.08089185486608
2026-02-21 01:10:00,VLR_012->VLR_010,30.0,1044.8880302626767,125.3865636315212,98.98939234067464,113.48587613168887,26.397171290846558,11.90068749983233
2026-02-21 01:10:00,VLR_010->VLR_011,34.0,548.2308406345504,58.047971361305336,53.34137908876706,58.66681042124375,4.706592272538273,0.6188390599384164
2026-02-21 01:10:00,VLR_009->VLR_010,33.0,2548.2634963239693,277.99238141716023,286.67964333644653,272.96244585504996,8.6872619192863,5.029935562110268
2026-02-21 01:10:00,VLR_002->VLR_003,32.0,3893.3638654219217,438.00343485996615,467.20366385063056,427.6296060452453,29.200228990664414,10.373828814720866
2026-02-21 01:11:00,VLR_001->VLR_002,31.0,3339.0012108314086,387.75497932235714,364.25467754524453,362.9399255303544,23.50030177711261,24.815053792002743
