timestamp,segment,actual_speed,baseline_speed,rf_speed,xgb_speed,baseline_error,rf_error,xgb_error
2026-02-21 00:04:00,VLR_007->VLR_008,36.0,33.0,36.03546849564177,36.354343,3.0,0.03546849564177279,0.3543434143066406
2026-02-21 00:05:00,VLR_001->VLR_002,33.0,27.0,35.245,35.221928,6.0,2.2449999999999974,2.2219276428222656
2026-02-21 00:05:00,VLR_008->VLR_009,36.0,33.0,35.397939483170056,34.673923,3.0,0.602060516829944,1.3260765075683594
2026-02-21 00:07:00,VLR_007->VLR_008,33.0,36.0,33.86138109233557,35.21766,3.0,0.86138109233557,2.2176589965820312
2026-02-21 00:07:00,VLR_002->VLR_030,35.0,26.0,35.500161092530654,35.412895,9.0,0.5001610925306537,0.41289520263671875
2026-02-21 00:07:00,VLR_021->VLR_022,37.0,29.0,35.307367562598486,34.64406,8.0,1.6926324374015138,2.3559417724609375
2026-02-21 00:08:00,VLR_009->VLR_010,39.0,31.0,32.794640366859625,33.99032,8.0,6.205359633140375,5.009681701660156
2026-02-21 00:09:00,VLR_030->VLR_005,35.0,30.0,34.66908990289176,33.95215,5.0,0.33091009710823727,1.0478515625
2026-02-21 00:13:00,VLR_002->VLR_030,35.0,35.0,35.81819378959867,34.236095,0.0,0.8181937895986735,0.7639045715332031
2026-02-21 00:13:00,VLR_020->VLR_021,36.0,32.0,35.20734435293197,35.4194,4.0,0.792655647068031,0.5806007385253906
2026-02-21 00:15:00,VLR_010->VLR_011,35.0,23.0,35.080368131868134,33.685295,12.0,0.08036813186813418,1.3147048950195312
2026-02-21 00:15:00,VLR_004->VLR_005,39.0,29.0,33.73960229876191,35.448677,10.0,5.260397701238091,3.5513229370117188
2026-02-21 00:15:00,VLR_003->VLR_004,35.0,26.0,40.18485714285714,38.19988,9.0,5.18485714285714,3.199878692626953
2026-02-21 00:19:00,VLR_002->VLR_003,32.0,35.0,35.995396518942904,34.221424,3.0,3.995396518942904,2.221424102783203
2026-02-21 00:19:00,VLR_020->VLR_021,36.0,36.0,35.31765390910543,35.072613,0.0,0.6823460908945691,0.9273872375488281
2026-02-21 00:20:00,VLR_002->VLR_030,31.0,35.0,34.41589460370246,34.10249,4.0,3.415894603702462,3.102489471435547
2026-02-21 00:22:00,VLR_001->VLR_002,32.0,33.0,35.865597920832045,34.42855,1.0,3.8655979208320446,2.4285507202148438
2026-02-21 00:22:00,VLR_011->VLR_012,37.0,32.0,34.16413246720058,34.688385,5.0,2.835867532799419,2.311614990234375
2026-02-21 00:23:00,VLR_004->VLR_005,41.0,39.0,36.86682201171241,35.136127,2.0,4.133177988287592,5.863872528076172
2026-02-21 00:24:00,VLR_001->VLR_002,29.0,32.0,33.924961201661915,33.834335,3.0,4.924961201661915,4.8343353271484375
2026-02-21 00:24:00,VLR_009->VLR_010,29.0,39.0,36.84669384145508,34.274845,10.0,7.846693841455078,5.274845123291016
2026-02-21 00:25:00,VLR_012->VLR_010,34.0,28.0,33.14423699142171,33.83774,6.0,0.8557630085782932,0.16225814819335938
